"","Pop.fac","Pop.num","K.s","r.max","R.jag","R.mth"
"1","1",1,6.95595952470386,1.47868988019632,4.5,4.24010040581024
"2","10",2,4.9876888508536,1.38432022016948,3.5,3.38837467301694
"3","11",3,4.79748682971461,1.5652778670938,3,2.6724875903286
"4","14",4,7.24566129700093,1.47009715793201,4.5,4.45839248145819
"5","15",5,9.04555009763751,1.48614745600359,5.5,5.46944012191656
"6","16",6,5.78748397393659,1.4474004180601,4,3.65223067224766
"7","17",7,1.95540101267326,1.58408468531939,1.5,1.06927149951033
"8","18",8,5.65462940739747,1.5225101730953,3.5,3.28993142790301
"9","19",9,6.97401634507669,1.48899352929936,4.5,4.2039573259336
"10","2",10,7.8548523954466,1.58299756581809,4.5,4.29983167939645
"11","20",11,8.4904594236042,1.45733745718977,5.5,5.29862788978934
"12","21",12,3.04630972276129,1.60908468126489,2,1.62611605641736
"13","22",13,8.48320245418961,1.62775340072356,4.5,4.44914843738914
"14","23",14,4.87146108863359,1.57955089377834,3,2.67570577033686
"15","24",15,9.12454967448236,1.50775236484179,5.5,5.39143768695648
"16","25",16,6.17482781261517,1.58208735955813,3.5,3.38317810383587
"17","26",17,7.64616228172881,1.58774242771809,4.5,4.16626847572614
"18","27",18,8.96958873832447,1.53522180238041,5.5,5.15059208192553
"19","28",19,4.80250674474906,1.62560350002401,2.5,2.52383159120525
"20","29",20,2.41830791932998,1.45666258672228,1.5,1.5103255727165
"21","3",21,2.67802037762944,1.43936133305038,2,1.70543251688162
"22","30",22,2.32703569517828,1.41832133252887,1.5,1.51824257409565
"23","31",23,6.87259608528408,1.53538304770944,4,3.94578705955279
"24","32",24,8.00720777973807,1.56212234009572,4.5,4.47453986129578
"25","33",25,4.98182952156236,1.45702318715368,3,3.11009188171292
"26","35",26,5.20335356769,1.48091999805942,3.5,3.16409460544519
"27","4",27,9.25967527372242,1.64799456721394,5,4.76603313062767
"28","5",28,9.15090190308334,1.39850716061491,6.5,6.11146249719405
"29","6",29,3.67239637976812,1.41299968234757,2.5,2.41095280013501
"30","7",30,6.72456293701236,1.44451783356168,4.5,4.25741019778355
"31","8",31,2.61557181679661,1.40121154185011,2,1.74120318675691
"32","9",32,7.73701126030435,1.58427069671698,4.5,4.23005980709766
"33","anc2",33,6.48415087433122,1.57371107081882,4,3.58201127930116
"34","anc3",34,7.09527263388726,1.47740588234456,4.5,4.33107390245026
"35","anc4",35,5.31674353385891,1.4028138882877,3.5,3.53266174221449
"36","anc5",36,7.9074135717172,1.51834336009329,5,4.62063158629342
"37","cc1690",37,6.34657261965508,1.48736066414876,4,3.83246864397596
