"","Pop.fac","Pop.num","r.max","c.mod","c.pred"
"1","1",1,1.27231128692641,2.02188281357416,1.615
"2","10",2,1.27375394698145,3.16421486924115,3.195
"3","11",3,1.16641524895372,3.13800635323483,3.115
"4","14",4,1.90432306196991,4.91439006784297,5.05
"5","15",5,1.70808443475891,5.39111995250805,7.405
"6","16",6,1.43420046456228,4.11952703705755,4.02
"7","17",7,1.07899247617139,3.94787176021577,3.88
"8","18",8,1.82132982316157,5.04455718808478,5.185
"9","19",9,1.19569775859189,3.00379758549713,2.995
"10","2",10,1.93392489548933,5.5423400585481,6.425
"11","20",11,1.29513711444643,3.20092806020392,3.19
"12","21",12,1.64071313178936,2.80786895673391,2.855
"13","22",13,1.55319729962002,2.69560367136456,2.725
"14","23",14,1.58294227993401,3.3595068785207,3.345
"15","24",15,1.71429299383959,2.58443325391736,2.6
"16","25",16,1.272192579977,6.42396069569891,6.56
"17","26",17,1.29906459882775,3.29674327181475,3.295
"18","27",18,1.27665232553868,2.95894483784862,2.98
"19","28",19,1.15404040631313,3.42751883002372,3.35
"20","29",20,1.13050074208961,3.69072847622032,3.64
"21","3",21,1.31796412290387,2.99439548544741,2.995
"22","30",22,1.4343418952222,2.79977606239745,2.84
"23","31",23,1.44664626181816,2.78393031977188,2.86
"24","32",24,1.06502816747835,6.88850528910588,7.105
"25","33",25,1.36887416272084,2.87630356707577,2.975
"26","35",26,1.83927830641948,2.98624587764488,2.86
"27","4",27,1.58425111153064,4.47083221115625,4.545
"28","5",28,1.88957807261487,2.62781979236302,2.735
"29","6",29,1.05586559140457,3.65919591086507,3.69
"30","7",30,0.901262878182513,4.03730481962497,4.02
"31","8",31,1.46971684641238,3.00137282693771,3.005
"32","9",32,2.17504974322075,3.60388897838644,3.405
"33","Anc 2",33,1.32159241403926,3.32382087144131,3.33
"34","Anc 3",34,1.46471960367205,3.08956877960912,3.135
"35","Anc 4",35,1.53483760423258,2.90375914718749,2.935
"36","Anc 5",36,1.28952307596199,2.97844446776155,2.97
"37","cc1690",37,1.2303210743237,3.02655903440269,2.99
