"","Pop.fac","Pop.num","unique.id","Model","T.min","T.max","T.br","T.opt","r.max"
"1","1",1,"1.B09","Lactin 2",4.48144403633357,39.7047588464618,18.7325883160405,31.6482418905513,4.16129641263692
"2","1",1,"1.C06","Lactin 2",4.80520843601479,39.2933066113123,18.8105244241806,31.0988353653573,3.57697800767538
"3","1",1,"1.E02","Lactin 2",5.03474767123347,39.2424378434713,18.8312514997829,30.9964901037321,3.40154487922212
"4","1",1,"1.F11","Lactin 2",5.155988516933,39.832168114997,16.1830393550964,33.9835428414722,4.56161649458751
"5","2",10,"10.B10","Lactin 2",5.02368352272696,39.7069884001128,19.1376352685895,31.2255056730815,3.57702476698098
"6","2",10,"10.C08","Lactin 2",7.28908551553198,39.5668184805622,18.2372206590191,31.3844533355077,3.55793412192257
"7","2",10,"10.E04","Lactin 2",-2.51829151487315,40.0154279719786,21.0754487649146,31.256688689806,3.77739625182403
"8","2",10,"10.F09","Lactin 2",3.12195178424599,39.4713802162442,19.6432025749195,30.9229754531843,3.44658363842515
"9","20",11,"11.B06","Lactin 2",4.9374491476906,38.4774754903,19.143781871946,29.9150247180677,2.53100770175897
"10","20",11,"11.D03","Lactin 2",7.32867030401212,39.7884873103863,17.8183804936808,31.9571187623013,4.3987134749253
"11","20",11,"11.D08","Lactin 2",2.57699487484226,38.658828320741,19.0166107931467,30.6646909045478,3.36000474814694
"12","20",11,"11.E09","Lactin 2",3.72982155549919,38.9714211362579,19.1259531241196,30.7635277853307,3.11236224028082
"13","21",12,"12.C02","Lactin 2",4.24780424121575,39.8357478078206,17.8278413556662,32.4231473901619,5.64876655911618
"14","21",12,"12.C09","Lactin 2",3.65840977919143,39.9165426011449,18.4892979942793,32.077719953127,5.29622509082597
"15","21",12,"12.E09","Lactin 2",4.10102538482512,39.8927180152653,18.7129602148544,31.8333704488139,4.8418499329212
"16","21",12,"12.F04","Lactin 2",3.85041135564848,40.1240105876882,17.0396137040113,33.1257113372398,8.61062474797256
"17","22",13,"13.B05","Lactin 2",6.67307221551155,40.0184702690093,17.0630513301538,32.9573477401107,5.40381540658199
"18","22",13,"13.D03","Lactin 2",5.54194196761661,40.0938225079036,18.7281687870986,31.8926971497883,4.21428781768588
"19","22",13,"13.E10","Lactin 2",5.76051888411767,39.334366982938,18.6318505551017,31.1162873927565,3.45808394099168
"20","22",13,"13.F06","Lactin 2",4.05214035080394,40.1726337294908,18.5333000755085,32.3346395567093,5.05390852467473
"21","23",14,"14.B06","Lactin 2",4.22254364382888,40.0156185093285,18.8193634203293,31.8947468036127,4.68442599189296
"22","23",14,"14.C10","Lactin 2",1.33489565380027,39.824519848095,18.7707190913382,32.2835979857123,4.47233769558871
"23","23",14,"14.E05","Lactin 2",5.78663297005236,40.2659438465416,18.9425977121548,31.886775833183,3.941431993704
"24","23",14,"14.F10","Lactin 2",5.81038063032864,39.9187105334413,18.3079082757117,31.8844766044027,4.8519302890772
"25","24",15,"15.B11","Lactin 2",4.36016061301192,39.9533987039082,19.2979685339034,31.5143750270848,3.77215222846552
"26","24",15,"15.D02","Lactin 2",3.48715516466617,40.0066671846911,18.2817560827652,32.524407948319,4.74086680875113
"27","24",15,"15.E06","Lactin 2",4.78307227515336,40.0956753998044,18.4894450287113,32.2637777403417,4.4314203708638
"28","24",15,"15.E11","Lactin 2",0.486500914610835,39.3514497581211,21.1940598242563,30.1198231629938,2.64253399092179
"29","25",16,"16.B02","Lactin 2",4.72295301602797,39.8552701331378,19.0686018405819,31.4532178586724,4.0028656700726
"30","25",16,"16.C05","Lactin 2",6.139177237087,40.0455086624499,18.638398459819,31.761862440125,4.12937453321197
"31","25",16,"16.E03","Lactin 2",4.39074443683824,40.2967159182471,19.5403150216534,31.6788414742556,3.78807728343766
"32","25",16,"16.F02","Lactin 2",4.73322240596802,40.3902317470158,18.8873593485583,32.2652711020211,4.41363512763935
"33","26",17,"17.B09","Lactin 2",4.28036345960212,40.3158662210399,19.3811131303723,31.8414865023726,4.05478660627115
"34","26",17,"17.C06","Lactin 2",1.83022237291074,39.9142701699136,18.8310031720332,32.3666476675986,4.08517235634096
"35","26",17,"17.E02","Lactin 2",3.87739235236619,40.1338146500907,19.3685624249982,31.7617373934772,3.91442398053964
"36","26",17,"17.F11","Lactin 2",4.79838462971861,40.0909617519049,18.0533854688351,32.6408008375162,4.55155370409297
"37","27",18,"18.B07","Lactin 2",-4.0068308207918,38.459555947892,23.7681401099147,27.8884835557776,1.75600905486327
"38","27",18,"18.C07","Lactin 2",1.52446322606008,39.1417243122344,21.3736931989541,29.536948742824,2.16807682307883
"39","27",18,"18.D11","Lactin 2",6.37276046401814,40.0112297766288,19.1696700425558,31.3332887448714,3.07291938887739
"40","27",18,"18.G02","Lactin 2",2.98442022903307,38.8313340746538,19.8840017135911,30.1582886228509,2.61142643648379
"41","28",19,"19.B02","Lactin 2",5.61440605312884,39.4385762567014,16.3404934470476,32.9869905435745,5.93076649200023
"42","28",19,"19.C05","Lactin 2",4.67954546461156,39.3050908925725,17.8510939553613,31.8782069237291,4.48405768940475
"43","28",19,"19.E03","Lactin 2",5.27133000752652,39.9885500099514,17.6499380424901,32.6368941484513,5.41852857382838
"44","28",19,"19.F02","Lactin 2",2.98122059804134,40.286265939678,18.2943054478555,32.6962804201717,6.01306290937979
"45","10",2,"2.C02","Lactin 2",2.56808648762575,39.9082118156384,20.0042212173636,31.2251408575178,3.54120530418054
"46","10",2,"2.D05","Lactin 2",1.21016248184938,40.146331268634,20.0240918622879,31.6193634978494,4.15165594033797
"47","10",2,"2.D11","Lactin 2",4.9491814816668,40.0288238451748,18.5787269110801,32.1179604849747,4.15149041340239
"48","10",2,"2.F08","Lactin 2",1.99053862178895,40.3628916527209,20.0104641938328,31.7809493454428,4.05780211950231
"49","29",20,"20.B10","Lactin 2",2.45672862979691,40.1258452097502,18.6270402575323,32.1968595456399,6.30185389357681
"50","29",20,"20.D02","Lactin 2",4.19683399959683,39.7967342576844,18.0892587056033,32.4755684135328,4.03497182785271
"51","29",20,"20.E06","Lactin 2",2.75181487940126,39.8989446976723,19.4245757641252,31.6017239602311,4.09391760306596
"52","29",20,"20.F04","Lactin 2",4.52229915746428,38.5951586848054,19.1283132154117,30.0182349101464,3.03323240080124
"53","3",21,"21.B03","Lactin 2",0.959827428330616,40.1074652380652,18.1489150646519,32.745080007792,6.75074179067832
"54","3",21,"21.C10","Lactin 2",3.08666046845227,38.8848200445011,19.7968666071235,30.0932148329337,3.02799542663146
"55","3",21,"21.D09","Lactin 2",5.00827076432247,39.8160071341174,18.7370639218016,31.6342585807984,4.26709872701917
"56","3",21,"21.F09","Lactin 2",3.85726265519133,39.9955652036256,19.0873138487479,31.7579624494623,4.34589214214815
"57","30",22,"22.C03","Lactin 2",2.76888854792449,40.121404998798,19.2772668376914,31.8766017373832,4.66536553205791
"58","30",22,"22.C09","Lactin 2",4.17081064628058,40.1455763624777,19.3039593791413,31.7457573841312,4.00384433429102
"59","30",22,"22.E03","Lactin 2",1.5658720151532,39.8180201872846,20.1383459053861,31.1084927000146,3.77759932969261
"60","30",22,"22.E08","Lactin 2",2.94137219831805,40.100218315575,19.6474782211883,31.5463693243483,4.15595747256149
"61","31",23,"23.B04","Lactin 2",3.42989628470279,39.3684274785292,19.4190816846491,30.857855777139,3.67840475268882
"62","31",23,"23.D06","Lactin 2",3.62491489251821,39.8953165626335,17.5890877857281,33.0267175456082,4.5924955679594
"63","31",23,"23.D09","Lactin 2",5.1706186648538,40.0073573208018,18.1343456270285,32.4659857371905,4.1780842764338
"64","31",23,"23.F08","Lactin 2",2.92298659347827,39.1013423840252,20.0431555064541,30.245750904061,2.87173801031451
"65","32",24,"24.C04","Lactin 2",5.41648404635179,40.2272516847426,18.43877669495,32.2861626575472,4.72893967644517
"66","32",24,"24.D07","Lactin 2",3.60443697219329,39.9124850339144,18.7908780977789,32.0349388577189,4.20071055994112
"67","32",24,"24.D08","Lactin 2",5.36674482146147,39.741965961818,18.6471058850003,31.5993446356361,4.04623926452227
"68","32",24,"24.F07","Lactin 2",3.59109331241028,39.6927956013536,19.1195840914149,31.5391244306161,3.8011799703361
"69","33",25,"25.C03","Lactin 2",3.61702095743588,39.9034812723365,18.7903762799247,31.9407010573339,4.54118399451925
"70","33",25,"25.D05","Lactin 2",2.67522020901435,39.7822705241473,18.6256045691057,32.195148239418,4.2347349022926
"71","33",25,"25.E08","Lactin 2",2.67230028343751,40.3403878075911,19.1604678939115,32.154587906364,5.21258271955424
"72","33",25,"25.G03","Lactin 2",4.03935437191492,40.0315929253899,17.5741028008986,33.3024874217259,3.990023465382
"73","35",26,"26.C04","Lactin 2",4.40105705564249,38.6629343076739,18.3989535420721,30.7846429790327,3.62159302478437
"74","35",26,"26.D07","Lactin 2",2.5643651963983,39.7580930484558,17.8273926278578,32.7768883900455,4.75934875774765
"75","35",26,"26.D08","Lactin 2",3.97570181041983,40.0296143658375,17.9045869456481,32.5790703459508,6.00598389243301
"76","35",26,"26.F07","Lactin 2",3.3817851770329,39.7472942635758,18.7543242361149,31.9179559703362,4.14711869673741
"77","4",27,"27.B03","Lactin 2",5.97699301135942,39.1576202880154,17.9611438418693,31.5010885414368,3.56396098817512
"78","4",27,"27.D04","Lactin 2",4.9590429702302,35.5482815755646,19.1782386201363,26.1417501490135,1.05271013762575
"79","4",27,"27.D10","Lactin 2",6.54141622287332,40.1617432840283,18.2841242818507,32.1790408517506,4.31742443406551
"80","4",27,"27.F03","Lactin 2",6.94065735525789,39.6295150899548,18.0721448487216,31.6594265270365,3.99809809195985
"81","5",28,"28.B09","Lactin 2",3.69072386032312,39.732685006969,18.8752467584806,31.6870853999485,4.27652592356061
"82","5",28,"28.C04","Lactin 2",3.33630945922777,40.1717704394304,19.0741783852512,32.0138055308073,4.73888515089576
"83","5",28,"28.D06","Lactin 2",2.77829906234051,38.7513262461469,20.3516182927898,29.6485018148201,2.42131165220976
"84","5",28,"28.E10","Lactin 2",3.28586041138485,36.7235960196741,20.1084861201906,27.2883212120681,1.49497663079558
"85","6",29,"29.C02","Lactin 2",5.02325956165426,39.2629705467643,18.1513135848456,31.5976748656543,3.8858602578084
"86","6",29,"29.C09","Lactin 2",5.41832670676675,39.558448462469,18.5857674624831,31.4728793889718,3.7888304103499
"87","6",29,"29.E09","Lactin 2",5.44737025895305,39.0028067776201,17.8331836393444,31.5541342516123,3.57470660633676
"88","6",29,"29.F04","Lactin 2",6.04660047872095,39.410940741358,18.3932914032132,31.3041179316717,3.822375446936
"89","11",3,"3.B07","Lactin 2",3.49927511396304,40.079034877286,18.0963510846839,32.6292264994338,5.49379860536058
"90","11",3,"3.C07","Lactin 2",6.94767974674056,39.9705699899991,18.5017046689244,31.6779304422816,3.77394637811637
"91","11",3,"3.D11","Lactin 2",2.21127722537904,39.4581016558963,18.8478502980019,31.7422322634652,3.96054259602289
"92","11",3,"3.G02","Lactin 2",4.33270148356832,39.9681568972648,17.6779150493938,32.9807149201221,4.30339124450322
"93","7",30,"30.B08","Lactin 2",5.66447181870001,39.6370097079878,18.1717071831859,31.7926354687018,4.44656490605818
"94","7",30,"30.C07","Lactin 2",3.44816446551699,39.9218196504714,18.2344584549569,32.3464349919071,5.3481814625786
"95","7",30,"30.D10","Lactin 2",3.07442981761891,39.757802308644,17.6818552629245,33.0549697070915,3.94780986741773
"96","7",30,"30.F03","Lactin 2",6.12956581692322,38.7686903193545,18.158152998645,30.7961749803784,3.33860800152749
"97","8",31,"31.B05","Lactin 2",4.21767294241019,39.8301707218066,17.7607624932243,32.4428282718803,5.88799973397878
"98","8",31,"31.D03","Lactin 2",5.35324531257078,39.8600078674665,18.1389116834794,32.0806309543945,4.95664527751053
"99","8",31,"31.E10","Lactin 2",3.80826772116174,39.677258746759,18.4124012099179,32.085244232138,4.08059025249319
"100","8",31,"31.F06","Lactin 2",5.38928233911295,38.7526047332909,18.6453566492243,30.4492865905713,3.3217024380191
"101","9",32,"32.C03","Lactin 2",1.7600438777087,39.8624312245505,19.5182316985665,31.5452583412185,4.49941055820831
"102","9",32,"32.D05","Lactin 2",2.08084592001937,39.9088475773632,19.347731759133,31.6539901989376,4.71069197277172
"103","9",32,"32.E08","Lactin 2",-0.13089011867867,39.6199318712058,20.9684766341254,30.5459234105762,3.29143281340995
"104","9",32,"32.G03","Lactin 2",0.81070875639189,39.7460084296247,20.410789264666,30.9408137115989,3.66131223728077
"105","anc2",33,"33.B06","Lactin 2",2.17367300772523,39.4363604871368,19.9808942073554,30.7287813209797,3.48610136155161
"106","anc2",33,"33.C10","Lactin 2",6.07565075593736,40.0428720348829,18.441316101078,31.9390441364227,4.44873520992476
"107","anc2",33,"33.E05","Lactin 2",5.24697589652438,39.9595899203222,18.4226911360277,32.0510962551348,4.45363252562344
"108","anc2",33,"33.F10","Lactin 2",4.25382107191711,39.9956325940207,19.2865676219839,31.562638723467,3.92541300279714
"109","anc3",34,"34.B07","Lactin 2",4.88947399021511,40.2470757314079,18.2191548246311,32.6104095752988,4.82400286356854
"110","anc3",34,"34.C06","Lactin 2",3.76167225280706,39.6434502938776,19.533980722396,31.1241448596057,3.38967600564618
"111","anc3",34,"34.D07","Lactin 2",4.25078928342547,40.2792055688151,18.8183069873845,32.2225278684229,4.73136020532301
"112","anc3",34,"34.F05","Lactin 2",5.08499117859885,39.5923820574025,19.1857948245015,31.1096091493914,3.25054026687047
"113","anc4",35,"35.B11","Lactin 2",3.6898270227653,39.7911259334542,18.7574336621213,31.9290426373053,4.06548332463827
"114","anc4",35,"35.D04","Lactin 2",2.95620895523445,39.9816494681468,18.8850380179337,31.9185725598674,5.21226416542134
"115","anc4",35,"35.E02","Lactin 2",1.55696068654273,39.9716215336632,18.3310598389391,32.7603632583648,4.71751535613993
"116","anc4",35,"35.F06","Lactin 2",3.75735191854082,39.8973372744795,19.0555641749848,31.6485863167075,4.4681560755548
"117","anc5",36,"36.B08","Lactin 2",4.09564230550346,39.6292243215544,18.751912554317,31.6082584449857,4.19802200214125
"118","anc5",36,"36.C11","Lactin 2",2.03860226613204,39.6262827346262,18.1921060779757,32.5024775003861,4.27048599588769
"119","anc5",36,"36.E07","Lactin 2",1.43864725413976,39.5593846051075,17.5260206340587,33.1854053607497,4.13728030104658
"120","anc5",36,"36.F05","Lactin 2",1.7281521945978,39.6454883533973,18.7346703468496,32.0865515354102,4.25672876897138
"121","cc1690",38,"38.B04","Lactin 2",5.178814401829,34.9670849356057,18.7578641678788,25.7228075164882,1.01434043081236
"122","cc1690",38,"38.C05","Lactin 2",6.30187640735607,40.0496055679487,18.4020713042917,31.9412392102452,4.40182517509658
"123","cc1690",38,"38.E05","Lactin 2",3.87748897442235,39.995623086162,19.0796717866539,31.7191988678894,4.48207439758205
"124","cc1690",38,"38.F07","Lactin 2",3.08116725272258,39.8076186012644,19.8768618644419,31.0891690977471,3.52435629777824
"125","14",4,"4.B04","Lactin 2",5.52846518327882,39.6545888528094,18.2775354649244,31.6933979979545,4.6510534026324
"126","14",4,"4.D06","Lactin 2",3.25010826704717,39.9764023338092,18.9327666135074,31.8878874321011,4.8758743750104
"127","14",4,"4.D09","Lactin 2",2.93681046452196,39.8885746149343,18.6651591633635,32.1174577530621,4.76103728363391
"128","14",4,"4.F08","Lactin 2",3.51858617371228,39.9041785779502,18.4076698415665,32.1282425690523,5.48357092515879
"129","15",5,"5.B02","Lactin 2",3.68807949483021,39.5916856235167,19.0830434171894,31.3446011792117,4.07364177510696
"130","15",5,"5.C11","Lactin 2",2.3580649729837,39.9335067987195,19.0443819135549,32.0114916422333,4.39628720199937
"131","15",5,"5.E07","Lactin 2",4.86353373473906,39.3536625490213,19.0907158620398,30.8679525851485,3.47208535291953
"132","15",5,"5.F02","Lactin 2",-2.65312533136014,40.0860691864724,18.9901958735132,32.2796742681042,7.25904633515157
"133","16",6,"6.B05","Lactin 2",3.68609593739634,39.7595013845124,19.6452853081885,31.1518120583098,3.45824846152791
"134","16",6,"6.C08","Lactin 2",2.79794535434342,39.9560740754514,19.7693128005297,31.3288955726732,3.92886627447668
"135","16",6,"6.E04","Lactin 2",0.907843746527374,40.0939340174496,20.0084349195375,31.5619016776538,4.33947645728976
"136","16",6,"6.E11","Lactin 2",4.40624898719978,39.3897242420433,19.1700981319238,30.9206459615732,3.60359675128178
"137","17",7,"7.B08","Lactin 2",5.02376632268236,37.7062277149227,18.4523504753949,29.4733968214686,2.9111202042615
"138","17",7,"7.C11","Lactin 2",4.8703850645788,39.8950269859162,15.4595456591749,34.7179067319493,4.87906496297315
"139","17",7,"7.E07","Lactin 2",5.27593612164592,39.1695986651354,17.5912317952074,31.8898435234906,4.21083168826253
"140","17",7,"7.F05","Lactin 2",6.13613476326053,37.6291414433652,17.8562057245059,29.6570995367133,3.03194133468806
"141","18",8,"8.B11","Lactin 2",6.06357346415653,39.8108083079105,18.6613628088597,31.5153420631833,3.88233407869611
"142","18",8,"8.D02","Lactin 2",2.58782234304988,39.9280667374777,18.0627263492338,32.808850427729,4.612349892571
"143","18",8,"8.E06","Lactin 2",1.49040923147595,39.9615913837932,19.6783420524687,31.5471264387152,4.53751371081379
"144","18",8,"8.E11","Lactin 2",2.02405007747609,39.7684083886978,20.2022425903243,30.9766095278815,3.47785012742672
"145","19",9,"9.B03","Lactin 2",-1.62620065313534,39.1804323195752,21.5750712607372,29.8927594648036,2.87178654616889
"146","19",9,"9.D04","Lactin 2",5.20716139566557,39.9382891940221,18.7549558123186,31.7836512771448,4.05720323637462
"147","19",9,"9.D10","Lactin 2",5.35081191339936,39.9777554752485,15.5133759074329,34.9447522051541,4.09575203327603
"148","19",9,"9.F03","Lactin 2",0.925740460674724,40.2066793950875,18.8665488527993,32.3628840889436,6.09108952783555
